"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Niveau","Qualitaet_Byte"
"TXK_MN004","2597","20161208","-1.1","3","0"
"TXK_MN004","2597","20161209","3.4","3","0"
"TXK_MN004","2597","20161210","7.8","3","0"
"TXK_MN004","2597","20161211","8.1","3","0"
"TXK_MN004","2597","20161212","7.3","3","0"
"TXK_MN004","2597","20161213","5.3","3","0"
"TXK_MN004","2597","20161214","5.6","3","0"
"TXK_MN004","2597","20161215","5.5","3","0"
"TXK_MN004","2597","20161216","2.1","3","0"
"TXK_MN004","2597","20161217","-0.6","3","0"
"TXK_MN004","2597","20161218","2","3","0"
"TXK_MN004","2597","20161219","2.4","3","0"
"TXK_MN004","2597","20161220","-0.2","3","0"
"TXK_MN004","2597","20161221","-0.9","3","0"
"TXK_MN004","2597","20161222","-0.4","3","0"
"TXK_MN004","2597","20161223","1.5","3","0"
"TXK_MN004","2597","20161224","6.8","3","0"
"TXK_MN004","2597","20161225","7.7","3","0"
"TXK_MN004","2597","20161226","8.5","3","0"
"TXK_MN004","2597","20161227","5.3","3","0"
"TXK_MN004","2597","20161228","5.7","3","0"
"TXK_MN004","2597","20161229","6.3","3","0"
"TXK_MN004","2597","20161230","-1.9","3","0"
"TXK_MN004","2597","20161231","-4.4","3","0"
"TXK_MN004","2597","20170101","-3.3","3","0"
"TXK_MN004","2597","20170102","0.3","3","0"
"TXK_MN004","2597","20170103","1","3","0"
"TXK_MN004","2597","20170104","2.6","3","0"
"TXK_MN004","2597","20170105","0.4","3","0"
"TXK_MN004","2597","20170106","-4.2","3","0"
"TXK_MN004","2597","20170107","-4.6","3","0"
"TXK_MN004","2597","20170108","1","3","0"
"TXK_MN004","2597","20170109","0.4","3","0"
"TXK_MN004","2597","20170110","0.2","3","0"
"TXK_MN004","2597","20170111","3.4","3","0"
"TXK_MN004","2597","20170112","4.1","3","0"
"TXK_MN004","2597","20170113","5.3","3","0"
"TXK_MN004","2597","20170114","1.8","3","0"
"TXK_MN004","2597","20170115","0.4","3","0"
"TXK_MN004","2597","20170116","-2.1","3","0"
"TXK_MN004","2597","20170117","-1.2","3","0"
"TXK_MN004","2597","20170118","-2.7","3","0"
"TXK_MN004","2597","20170119","0.2","3","0"
"TXK_MN004","2597","20170120","3.5","3","0"
"TXK_MN004","2597","20170121","2.2","3","0"
"TXK_MN004","2597","20170122","-0.5","3","0"
"TXK_MN004","2597","20170123","-1.6","3","0"
"TXK_MN004","2597","20170124","-4.3","3","0"
"TXK_MN004","2597","20170125","-0.8","3","0"
"TXK_MN004","2597","20170126","0.8","3","0"
"TXK_MN004","2597","20170127","0.7","3","0"
"TXK_MN004","2597","20170128","0.4","3","0"
"TXK_MN004","2597","20170129","-0.5","3","0"
"TXK_MN004","2597","20170130","3.9","3","0"
"TXK_MN004","2597","20170131","4","3","0"
"TXK_MN004","2597","20170201","2.3","3","0"
"TXK_MN004","2597","20170202","1.9","3","0"
"TXK_MN004","2597","20170203","4.7","3","0"
"TXK_MN004","2597","20170204","4.7","3","0"
"TXK_MN004","2597","20170205","6.9","3","0"
"TXK_MN004","2597","20170206","4.8","3","0"
"TXK_MN004","2597","20170207","2.5","3","0"
"TXK_MN004","2597","20170208","2.6","3","0"
"TXK_MN004","2597","20170209","0","3","0"
"TXK_MN004","2597","20170210","1.2","3","0"
"TXK_MN004","2597","20170211","5.6","3","0"
"TXK_MN004","2597","20170212","1.3","3","0"
"TXK_MN004","2597","20170213","7.6","3","0"
"TXK_MN004","2597","20170214","9.4","3","0"
"TXK_MN004","2597","20170215","9.3","3","0"
"TXK_MN004","2597","20170216","9.2","3","0"
"TXK_MN004","2597","20170217","6.7","3","0"
"TXK_MN004","2597","20170218","6.1","3","0"
"TXK_MN004","2597","20170219","6.2","3","0"
"TXK_MN004","2597","20170220","8.1","3","0"
"TXK_MN004","2597","20170221","10.1","3","0"
"TXK_MN004","2597","20170222","10","3","0"
"TXK_MN004","2597","20170223","11.1","3","0"
"TXK_MN004","2597","20170224","7.3","3","0"
"TXK_MN004","2597","20170225","7.9","3","0"
"TXK_MN004","2597","20170226","12.2","3","0"
"TXK_MN004","2597","20170227","13.1","3","0"
"TXK_MN004","2597","20170228","7.7","3","0"
"TXK_MN004","2597","20170301","8.6","3","0"
"TXK_MN004","2597","20170302","8.9","3","0"
"TXK_MN004","2597","20170303","10.1","3","0"
"TXK_MN004","2597","20170304","15.1","3","0"
"TXK_MN004","2597","20170305","10.2","3","0"
"TXK_MN004","2597","20170306","6.7","3","0"
"TXK_MN004","2597","20170307","7.6","3","0"
"TXK_MN004","2597","20170308","7.6","3","0"
"TXK_MN004","2597","20170309","11","3","0"
"TXK_MN004","2597","20170310","10.1","3","0"
"TXK_MN004","2597","20170311","10.1","3","0"
"TXK_MN004","2597","20170312","10.8","3","0"
"TXK_MN004","2597","20170313","10.7","3","0"
"TXK_MN004","2597","20170314","14.5","3","0"
"TXK_MN004","2597","20170315","14.3","3","0"
"TXK_MN004","2597","20170316","16.2","3","0"
"TXK_MN004","2597","20170317","11.7","3","0"
"TXK_MN004","2597","20170318","9.6","3","0"
"TXK_MN004","2597","20170319","13","3","0"
"TXK_MN004","2597","20170320","12.7","3","0"
"TXK_MN004","2597","20170321","10.4","3","0"
